cell_id,rainfall_2015,rainfall_2016,rainfall_2017,rainfall_2018,rainfall_2019,rainfall_2020,rainfall_2021,rainfall_2022,rainfall_2023,rainfall_2024,rainfall_mean,rainfall_anomaly
1210,1088.2,643.4,1028.2,948.9,1056.0,1180.3,1563.9,1186.2,755.1,1152.7,1060.2900000000004,92.40999999999963
1215,1179.8,691.4,1076.2,961.8,1043.8,1240.0,1544.5,1229.5,773.1,1205.4,1094.55,110.85000000000014
1220,1179.8,691.4,1125.6,926.2,1044.3,1185.0,1475.7,1252.1,816.7,1190.1,1088.69,101.40999999999985
1225,1179.8,691.4,1109.2,993.7,1094.8,1304.6,1545.1,1320.7,817.0,1206.4,1126.27,80.13000000000011
1230,1179.8,691.4,1171.9,1041.7,1077.1,1252.7,1486.3,1331.0,859.9,1192.6,1128.44,64.15999999999985
1235,1179.8,691.4,1073.2,965.8,986.1,1244.6,1456.5,1232.0,823.0,1100.7,1075.31,25.3900000000001
1240,1179.8,691.4,1177.1,1017.7,998.0,1247.9,1401.7,1264.6,825.9,1143.4,1094.7499999999998,48.65000000000032
1245,1236.8,687.8,1005.8,863.9,868.1,1169.7,1347.6,1084.8,717.0,1009.9,999.1399999999998,10.760000000000218
1250,1236.8,687.8,1012.7,893.8,850.2,1120.3,1306.9,1063.7,694.6,1010.5,987.7299999999999,22.770000000000095
1255,1236.8,687.8,959.6,792.6,767.2,1116.0,1240.3,980.5,722.2,954.4,945.74,8.659999999999968
1260,1236.8,687.8,929.8,768.9,757.0,1063.5,1233.7,954.7,736.7,987.4,935.6299999999999,51.770000000000095
1275,1193.0,770.5,1028.2,948.9,1056.0,1180.3,1563.9,1186.2,755.1,1152.7,1083.4800000000002,69.2199999999998
1280,1193.0,770.5,1028.2,948.9,1056.0,1180.3,1563.9,1186.2,755.1,1152.7,1083.4800000000002,69.2199999999998
1285,1176.9,775.5,1076.2,961.8,1043.8,1240.0,1544.5,1229.5,773.1,1205.4,1102.67,102.73000000000002
1290,1176.9,775.5,1109.2,993.7,1094.8,1304.6,1545.1,1320.7,817.0,1206.4,1134.39,72.00999999999999
1295,1176.9,775.5,1109.2,993.7,1094.8,1304.6,1545.1,1320.7,817.0,1206.4,1134.39,72.00999999999999
1300,1176.9,775.5,1073.2,965.8,986.1,1244.6,1456.5,1232.0,823.0,1100.7,1083.43,17.269999999999982
1305,1176.9,775.5,1073.2,965.8,986.1,1244.6,1456.5,1232.0,823.0,1100.7,1083.43,17.269999999999982
1310,1203.8,746.4,1005.8,863.9,868.1,1169.7,1347.6,1084.8,717.0,1009.9,1001.6999999999998,8.20000000000016
1315,1203.8,746.4,1005.8,863.9,868.1,1169.7,1347.6,1084.8,717.0,1009.9,1001.6999999999998,8.20000000000016
1320,1203.8,746.4,959.6,792.6,767.2,1116.0,1240.3,980.5,722.2,954.4,948.3,6.100000000000023
1325,1203.8,746.4,959.6,792.6,767.2,1116.0,1240.3,980.5,722.2,954.4,948.3,6.100000000000023
1330,1203.8,746.4,929.8,768.9,757.0,1063.5,1233.7,954.7,736.7,987.4,938.1899999999999,49.210000000000036
1335,1203.8,746.4,945.4,725.7,794.6,1080.9,1268.3,1061.7,717.7,1049.3,959.3800000000001,89.91999999999985
1340,1193.0,770.5,1028.2,948.9,1056.0,1180.3,1563.9,1186.2,755.1,1152.7,1083.4800000000002,69.2199999999998
1345,1193.0,770.5,1028.2,948.9,1056.0,1180.3,1563.9,1186.2,755.1,1152.7,1083.4800000000002,69.2199999999998
1350,1176.9,775.5,1076.2,961.8,1043.8,1240.0,1544.5,1229.5,773.1,1205.4,1102.67,102.73000000000002
1355,1176.9,775.5,1076.2,961.8,1043.8,1240.0,1544.5,1229.5,773.1,1205.4,1102.67,102.73000000000002
1360,1176.9,775.5,1109.2,993.7,1094.8,1304.6,1545.1,1320.7,817.0,1206.4,1134.39,72.00999999999999
1365,1176.9,775.5,1109.2,993.7,1094.8,1304.6,1545.1,1320.7,817.0,1206.4,1134.39,72.00999999999999
1370,1176.9,775.5,1073.2,965.8,986.1,1244.6,1456.5,1232.0,823.0,1100.7,1083.43,17.269999999999982
1375,1176.9,775.5,1005.8,863.9,868.1,1169.7,1347.6,1084.8,717.0,1009.9,1001.9199999999998,7.980000000000132
1380,1203.8,746.4,1005.8,863.9,868.1,1169.7,1347.6,1084.8,717.0,1009.9,1001.6999999999998,8.20000000000016
1385,1203.8,746.4,959.6,792.6,767.2,1116.0,1240.3,980.5,722.2,954.4,948.3,6.100000000000023
1455,1203.8,746.4,959.6,792.6,767.2,1116.0,1240.3,980.5,722.2,954.4,948.3,6.100000000000023
1460,1203.8,746.4,929.8,768.9,757.0,1063.5,1233.7,954.7,736.7,987.4,938.1899999999999,49.210000000000036
1465,1203.8,746.4,929.8,768.9,757.0,1063.5,1233.7,954.7,736.7,987.4,938.1899999999999,49.210000000000036
1470,1203.8,746.4,945.4,725.7,794.6,1080.9,1268.3,1061.7,717.7,1049.3,959.3800000000001,89.91999999999985
1475,1193.0,770.5,1028.2,948.9,1056.0,1180.3,1563.9,1186.2,755.1,1152.7,1083.4800000000002,69.2199999999998
1480,1193.0,770.5,1028.2,948.9,1056.0,1180.3,1563.9,1186.2,755.1,1152.7,1083.4800000000002,69.2199999999998
1485,1176.9,775.5,1076.2,961.8,1043.8,1240.0,1544.5,1229.5,773.1,1205.4,1102.67,102.73000000000002
1490,1176.9,775.5,1076.2,961.8,1043.8,1240.0,1544.5,1229.5,773.1,1205.4,1102.67,102.73000000000002
1495,1176.9,775.5,1109.2,993.7,1094.8,1304.6,1545.1,1320.7,817.0,1206.4,1134.39,72.00999999999999
1500,1176.9,775.5,1073.2,965.8,986.1,1244.6,1456.5,1232.0,823.0,1100.7,1083.43,17.269999999999982
1505,1176.9,775.5,1073.2,965.8,986.1,1244.6,1456.5,1232.0,823.0,1100.7,1083.43,17.269999999999982
1510,1203.8,746.4,1005.8,863.9,868.1,1169.7,1347.6,1084.8,717.0,1009.9,1001.6999999999998,8.20000000000016
1515,1203.8,746.4,1005.8,863.9,868.1,1169.7,1347.6,1084.8,717.0,1009.9,1001.6999999999998,8.20000000000016
1520,1203.8,746.4,959.6,792.6,767.2,1116.0,1240.3,980.5,722.2,954.4,948.3,6.100000000000023
1525,1203.8,746.4,959.6,792.6,767.2,1116.0,1240.3,980.5,722.2,954.4,948.3,6.100000000000023
1530,1203.8,746.4,929.8,768.9,757.0,1063.5,1233.7,954.7,736.7,987.4,938.1899999999999,49.210000000000036
1535,1203.8,746.4,929.8,768.9,757.0,1063.5,1233.7,954.7,736.7,987.4,938.1899999999999,49.210000000000036
1540,1211.1,695.8,945.4,725.7,794.6,1080.9,1268.3,1061.7,717.7,1049.3,955.05,94.25
1545,1193.0,770.5,1028.2,948.9,1056.0,1180.3,1563.9,1186.2,755.1,1152.7,1083.4800000000002,69.2199999999998
1550,1176.9,775.5,1076.2,961.8,1043.8,1240.0,1544.5,1229.5,773.1,1205.4,1102.67,102.73000000000002
1555,1176.9,775.5,1076.2,961.8,1043.8,1240.0,1544.5,1229.5,773.1,1205.4,1102.67,102.73000000000002
1560,1176.9,775.5,1109.2,993.7,1094.8,1304.6,1545.1,1320.7,817.0,1206.4,1134.39,72.00999999999999
1565,1176.9,775.5,1109.2,993.7,1094.8,1304.6,1545.1,1320.7,817.0,1206.4,1134.39,72.00999999999999
1785,1203.8,746.4,927.6,783.9,823.6,1185.4,1303.6,1029.1,703.8,1005.5,971.2700000000001,34.229999999999905
1790,1203.8,746.4,927.6,783.9,823.6,1185.4,1303.6,1029.1,703.8,1005.5,971.2700000000001,34.229999999999905
1795,1203.8,746.4,995.2,800.9,817.6,1118.9,1268.8,1040.8,712.6,1050.1,975.51,74.58999999999992
1800,1203.8,746.4,995.2,800.9,817.6,1118.9,1268.8,1040.8,712.6,1050.1,975.51,74.58999999999992
