cell_id,ndvi_2015,ndvi_2018,ndvi_2021,ndvi_2024,ndvi_change_2015_2018,ndvi_change_2018_2021,ndvi_change_2021_2024,ndvi_total_change
478,0.7899,0.1893,0.3708,0.1371,-0.6006,0.18150000000000002,-0.23370000000000002,-0.6528
479,0.5393,0.1262,0.7771,0.3755,-0.4131,0.6509,-0.4016,-0.1638
480,0.725,0.1849,0.4213,0.2015,-0.5401,0.2364,-0.2198,-0.5235
481,0.4693,0.33,0.6107,0.1274,-0.13929999999999998,0.2807,-0.4833,-0.3419
482,0.5715,0.314,0.5875,0.3639,-0.2575,0.2735,-0.22360000000000002,-0.2076
483,0.7257,0.36,0.508,0.2596,-0.3657,0.14800000000000002,-0.2484,-0.4661
484,0.8092,,,,,,,
485,0.7339,,,,,,,
486,0.6061,,,,,,,
487,0.7435,,,,,,,
488,0.7602,,,,,,,
489,0.793,,,,,,,
490,0.7722,,,,,,,
491,0.2838,,,,,,,
492,0.5009,,,,,,,
493,0.7574,,,,,,,
494,0.8233,,,,,,,
495,0.6366,,,,,,,
496,0.8254,,,,,,,
497,0.7656,,,,,,,
498,0.8273,,,,,,,
499,0.6607,,,,,,,
500,0.7723,,,,,,,
501,0.7254,,,,,,,
502,0.3957,,,,,,,
503,0.596,,,,,,,
504,0.3794,,,,,,,
505,0.364,,,,,,,
506,0.2062,,,,,,,
507,0.2484,,,,,,,
508,0.6478,,,,,,,
509,0.3992,,,,,,,
510,0.5613,,,,,,,
511,0.3432,,,,,,,
512,0.578,,,,,,,
513,0.5104,,,,,,,
514,0.6274,,,,,,,
515,0.5754,,,,,,,
516,0.4707,,,,,,,
517,0.5619,,,,,,,
518,0.5575,,,,,,,
519,0.4241,,,,,,,
520,0.5857,,,,,,,
521,0.5145,,,,,,,
522,0.7646,,,,,,,
523,0.2029,,,,,,,
524,0.5552,,,,,,,
525,0.423,,,,,,,
526,0.2804,,,,,,,
527,0.4701,,,,,,,
528,0.7392,,,,,,,
529,0.5154,,,,,,,
530,0.3883,,,,,,,
531,0.6035,,,,,,,
532,0.6936,,,,,,,
533,0.7653,,,,,,,
534,0.5629,,,,,,,
535,0.3827,,,,,,,
536,0.8068,0.2453,0.7277,0.3798,-0.5615,0.48240000000000005,-0.3479,-0.42699999999999994
537,0.6797,0.1421,0.743,0.4012,-0.5376,0.6009,-0.3418,-0.27849999999999997
538,0.6706,0.6469,0.8589,0.3917,-0.023699999999999943,0.21199999999999997,-0.4672,-0.2789
539,0.623,0.1409,0.4513,0.2195,-0.4821,0.3104,-0.23179999999999998,-0.40349999999999997
540,0.67,0.2278,0.617,0.4101,-0.44220000000000004,0.3892,-0.20689999999999997,-0.2599
541,0.8032,0.0855,0.3055,0.2604,-0.7177,0.21999999999999997,-0.04509999999999997,-0.5428
542,0.5937,0.1841,0.4877,0.1428,-0.40959999999999996,0.3036,-0.3449,-0.45089999999999997
543,0.7372,0.279,0.381,0.1871,-0.45819999999999994,0.10199999999999998,-0.19390000000000002,-0.5501
544,0.3811,0.3092,0.6369,0.1542,-0.07190000000000002,0.32770000000000005,-0.4827,-0.2269
545,0.6951,0.0473,0.3745,0.1859,-0.6478,0.3272,-0.1886,-0.5092000000000001
546,0.7795,0.014,0.2022,0.1481,-0.7655,0.18819999999999998,-0.05409999999999998,-0.6314
547,0.806,0.0665,0.4791,0.1614,-0.7395,0.4126,-0.31770000000000004,-0.6446000000000001
548,0.174,0.3214,0.3116,0.2958,0.14740000000000003,-0.009800000000000031,-0.01579999999999998,0.12180000000000002
549,0.1571,0.4191,0.4328,0.0984,0.262,0.013700000000000045,-0.33440000000000003,-0.05869999999999999
550,0.8224,0.1449,0.4925,0.3865,-0.6775,0.3476,-0.10599999999999998,-0.4359
551,0.6626,,,,,,,
552,0.6398,,,,,,,
553,0.585,,,,,,,
554,0.7253,,,,,,,
555,0.8158,,,,,,,
556,0.642,,,,,,,
557,0.81,,,,,,,
558,0.7494,,,,,,,
559,0.5755,,,,,,,
560,0.7822,,,,,,,
561,0.6838,,,,,,,
562,0.7177,,,,,,,
563,0.8356,,,,,,,
564,0.8153,,,,,,,
565,0.8588,,,,,,,
566,0.8014,,,,,,,
567,0.8121,,,,,,,
568,0.6054,,,,,,,
569,0.4328,,,,,,,
570,0.6379,,,,,,,
571,0.6678,,,,,,,
572,0.4093,,,,,,,
573,0.294,,,,,,,
574,0.0481,,,,,,,
575,0.3344,,,,,,,
576,0.5727,,,,,,,
577,0.473,,,,,,,
578,0.5045,,,,,,,
579,0.5993,,,,,,,
580,0.4651,,,,,,,
581,0.5237,,,,,,,
582,0.5209,,,,,,,
583,0.4839,,,,,,,
584,0.3348,,,,,,,
585,0.5733,,,,,,,
586,0.5585,,,,,,,
587,0.3806,,,,,,,
588,0.3039,,,,,,,
589,0.3303,,,,,,,
590,0.4764,,,,,,,
591,0.2755,,,,,,,
592,0.3431,,,,,,,
593,0.6022,,,,,,,
594,0.466,,,,,,,
595,0.5842,,,,,,,
596,0.7161,,,,,,,
597,0.5631,,,,,,,
598,0.6015,,,,,,,
