cell_id,center_lat,center_lon
193,12.7225,77.8355
194,12.7225,77.8445
195,12.7225,77.8535
196,12.7225,77.8625
197,12.7225,77.8715
198,12.7225,77.8805
199,12.7225,77.8895
200,12.7225,77.8985
201,12.7315,77.3045
202,12.7315,77.3135
203,12.7315,77.3225
204,12.7315,77.3315
205,12.7315,77.3405
206,12.7315,77.3495
207,12.7315,77.3585
208,12.7315,77.3675
209,12.7315,77.3765
210,12.7315,77.3855
211,12.7315,77.3945
212,12.7315,77.4035
213,12.7315,77.4125
214,12.7315,77.4215
215,12.7315,77.4305
216,12.7315,77.4395
217,12.7315,77.4485
218,12.7315,77.4575
219,12.7315,77.4665
220,12.7315,77.4755
221,12.7315,77.4845
222,12.7315,77.4935
223,12.7315,77.5025
224,12.7315,77.5115
225,12.7315,77.5205
226,12.7315,77.5295
227,12.7315,77.5385
228,12.7315,77.5475
229,12.7315,77.5565
230,12.7315,77.5655
231,12.7315,77.5745
232,12.7315,77.5835
233,12.7315,77.5925
234,12.7315,77.6015
235,12.7315,77.6105
236,12.7315,77.6195
237,12.7315,77.6285
238,12.7315,77.6375
239,12.7315,77.6465
240,12.7315,77.6555
241,12.7315,77.6645
242,12.7315,77.6735
243,12.7315,77.6825
244,12.7315,77.6915
245,12.7315,77.7005
246,12.7315,77.7095
247,12.7315,77.7185
248,12.7315,77.7275
249,12.7315,77.7365
250,12.7315,77.7455
251,12.7315,77.7545
252,12.7315,77.7635
253,12.7315,77.7725
254,12.7315,77.7815
255,12.7315,77.7905
256,12.7315,77.7995
257,12.7315,77.8085
258,12.7315,77.8175
259,12.7315,77.8265
260,12.7315,77.8355
261,12.7315,77.8445
262,12.7315,77.8535
263,12.7315,77.8625
264,12.7315,77.8715
265,12.7315,77.8805
266,12.7315,77.8895
267,12.7315,77.8985
268,12.7405,77.3045
269,12.7405,77.3135
270,12.7405,77.3225
271,12.7405,77.3315
272,12.7405,77.3405
273,12.7405,77.3495
274,12.7405,77.3585
275,12.7405,77.3675
276,12.7405,77.3765
277,12.7405,77.3855
278,12.7405,77.3945
279,12.7405,77.4035
280,12.7405,77.4125
281,12.7405,77.4215
282,12.7405,77.4305
283,12.7405,77.4395
284,12.7405,77.4485
285,12.7405,77.4575
286,12.7405,77.4665
287,12.7405,77.4755
288,12.7405,77.4845
289,12.7405,77.4935
290,12.7405,77.5025
291,12.7405,77.5115
292,12.7405,77.5205
293,12.7405,77.5295
294,12.7405,77.5385
295,12.7405,77.5475
296,12.7405,77.5565
297,12.7405,77.5655
298,12.7405,77.5745
299,12.7405,77.5835
300,12.7405,77.5925
301,12.7405,77.6015
302,12.7405,77.6105
303,12.7405,77.6195
304,12.7405,77.6285
305,12.7405,77.6375
306,12.7405,77.6465
307,12.7405,77.6555
308,12.7405,77.6645
309,12.7405,77.6735
310,12.7405,77.6825
311,12.7405,77.6915
312,12.7405,77.7005
313,12.7405,77.7095
314,12.7405,77.7185
315,12.7405,77.7275
316,12.7405,77.7365
317,12.7405,77.7455
318,12.7405,77.7545
319,12.7405,77.7635
320,12.7405,77.7725
321,12.7405,77.7815
