cell_id,road_length_km,building_count
867,8.5507,0
868,9.9327,0
869,9.2703,0
870,4.2276,0
871,2.1131,0
872,3.9435,0
873,7.907,0
874,3.2733,0
875,0.0,0
876,0.0,0
877,7.4073,0
878,4.3189,0
879,9.0436,0
880,12.8619,0
881,15.2336,0
882,28.485,1
883,45.5651,10
884,14.0013,0
885,9.3616,0
886,9.1228,0
887,8.4481,0
888,19.8686,108
889,8.4446,6
890,8.8334,4
891,17.6545,59
892,22.9107,186
893,14.6728,59
894,16.2651,225
895,20.8622,120
896,6.9541,0
897,0.0,0
898,7.0282,0
899,45.571,1
900,16.7819,0
901,13.4196,1
902,18.2858,2
903,16.5328,0
904,13.9074,5
905,12.9985,0
906,19.102,4
907,15.8789,4
908,21.7219,0
909,31.4021,37
910,19.87,213
911,23.086,165
912,28.1194,415
913,27.7589,252
914,21.0932,205
915,6.3709,103
916,21.0311,118
917,13.9676,113
918,2.027,0
919,11.477,0
920,11.9958,2
921,7.4026,1
922,11.924,32
923,20.2077,18
924,14.8679,5
925,23.1168,54
926,33.0469,0
927,22.9644,0
928,15.8421,2
929,14.0277,0
930,14.9772,0
931,25.2675,0
932,15.0679,3
933,16.9236,11
934,7.9691,0
935,15.0099,0
936,18.6456,0
937,1.3876,0
938,7.6094,0
939,7.1472,1
940,9.142,0
941,3.3486,0
942,8.1831,0
943,4.1645,0
944,24.8263,0
945,34.5963,0
946,9.8761,0
947,12.3139,0
948,3.556,0
949,5.7763,1
950,24.2234,4
951,17.7796,0
952,25.4743,0
953,10.6882,0
954,14.2946,0
955,9.8278,93
956,5.4775,2
957,10.0721,2
958,28.0622,124
959,11.8597,65
960,13.8876,130
961,11.047,181
962,10.9156,102
963,8.1563,0
964,3.3464,0
965,5.5222,0
966,39.059,0
967,35.6454,2
968,14.0322,0
969,6.3229,1
970,20.993,6
971,17.7607,8
972,29.7159,8
973,27.1705,1
974,21.6144,1
975,21.8761,32
976,19.7659,111
977,23.7759,464
978,20.684,294
979,21.4259,630
980,32.2013,292
981,32.8476,31
982,19.6975,54
983,7.4075,45
984,6.9296,59
985,5.8553,0
986,15.671,0
987,16.3694,0
988,13.0665,0
989,8.5796,2
990,16.3945,211
991,10.9615,92
992,5.042,0
993,25.7549,5
994,10.1305,0
995,9.7927,0
996,4.6287,0
997,17.6739,0
998,11.7514,0
999,10.8249,0
1000,37.5602,0
1001,22.7341,0
1002,15.2172,0
1003,7.1801,3
1004,5.9857,4
1005,4.1529,0
1006,5.0336,0
1007,6.1325,0
1008,9.9827,0
1009,7.1966,1
1010,2.4228,0
1011,38.4254,0
1012,21.949,0
1013,5.6781,0
1014,9.1844,0
1015,13.1406,0
1016,9.6675,2
1017,44.2551,2
1018,38.2168,6
1019,4.8001,0
1020,8.6553,0
1021,10.9772,0
1022,11.7806,9
1023,18.0887,23
1024,20.4379,72
1025,26.813,217
1026,13.4818,112
1027,33.0041,49
1028,39.6895,295
1029,10.57,34
1030,7.6144,0
1031,5.9019,1
1032,4.8438,4
1033,11.2526,0
1034,2.463,6
1035,40.2208,0
1036,19.3051,22
1037,23.1653,8
1038,15.8909,6
1039,41.948,57
1040,23.2239,62
1041,24.7776,5
1042,33.1829,51
1043,34.194,307
1044,17.1383,460
1045,13.6637,175
1046,28.9913,305
1047,18.6858,138
1048,34.1598,32
1049,20.145,25
1050,11.8497,3
1051,8.7052,114
1052,16.6954,241
1053,10.0328,1
1054,12.439,1
1055,2.5531,0
1056,7.4428,0
1057,12.3321,12
1058,19.8927,98
1059,5.5409,1
1060,13.2814,9
1061,16.1224,0
1062,21.9271,0
1063,8.9159,0
1064,18.8552,0
1065,19.9626,0
1066,14.4198,0
1067,14.9915,0
1068,27.9589,2
1069,19.2318,0
1070,7.4843,0
1071,3.8402,0
1072,0.0,0
1073,0.0,0
1074,0.0,0
1075,9.8988,0
1076,6.4094,0
1077,5.4912,1
1078,14.9992,0
1079,7.2918,0
1080,2.5552,0
1081,9.852,2
1082,2.0547,0
1083,6.6431,0
1084,10.0963,0
1085,32.3332,5
1086,9.3998,5
1087,8.2325,0
1088,25.1406,0
1089,10.7084,54
1090,15.7144,55
1091,15.1262,26
1092,20.9871,149
1093,14.3283,77
1094,8.4113,29
1095,32.4623,464
1096,13.3777,177
1097,0.8266,27
1098,2.2267,21
1099,23.9101,20
1100,36.8906,26
1101,26.6115,0
1102,39.0367,64
1103,60.9657,1055
1104,51.284,10
1105,34.7428,3
1106,23.9085,27
1107,30.1349,0
1108,37.8181,4
1109,25.891,29
1110,37.6191,353
1111,25.1685,775
1112,36.3349,328
1113,46.1366,512
1114,33.9965,175
1115,12.5065,90
1116,16.5582,10
1117,8.0418,1
1118,4.725,80
1119,16.2732,97
1120,11.4405,266
1121,12.5844,0
1122,10.1134,0
1123,15.9289,73
1124,7.0981,23
1125,7.4751,71
1126,1.4442,1
1127,9.3768,65
1128,21.7686,44
1129,19.3366,0
1130,20.4596,1
1131,16.8835,0
1132,13.9492,0
1133,10.3327,0
1134,12.3758,0
1135,11.1241,0
1136,8.7629,0
1137,6.9564,0
1138,0.8018,0
1139,0.0,0
