cell_id,center_lat,center_lon,ndvi_2018,ndvi_2021,ndvi_2024,ndvi_change_2015_2018,ndvi_change_2018_2021,ndvi_change_2021_2024,ndvi_total_change,ndvi_mean,ndvi_std,ndvi_accel,fragmentation_index,road_length_km,building_count,infra_pressure,urban_proximity_score,dist_to_cbd_km,rainfall_anomaly,rainfall_stress,gbif_observations,gbif_species_count,biodiversity_density,lag_stress_score,ecological_vulnerability_score,degradation_label
48,12.7045,77.7365,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,8.9771,0,0.0556,0.029076,33.3931,56.040899653979245,0,0.0,0.0,0.0,0.1071,0.1796,stable
49,12.7045,77.7455,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,8.2468,0,0.0511,0.028692,33.8526,56.040899653979245,0,0.0,0.0,0.0,0.1053,0.1784,stable
50,12.7045,77.7545,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,0.0,0,0.0,0.028302,34.3336,22.780000000000086,0,0.0,0.0,0.0,0.0849,0.1656,stable
51,12.7045,77.7635,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,4.0149,0,0.0249,0.027906,34.8352,56.040899653979245,0,0.0,0.0,0.0,0.0948,0.1717,stable
52,12.7045,77.7725,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,8.1603,0,0.0506,0.027505,35.3566,56.040899653979245,0,0.0,0.0,0.0,0.1051,0.1781,stable
53,12.7045,77.7815,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,8.7346,7,0.0548,0.027103,35.8969,56.040899653979245,0,0.0,0.0,0.0,0.1068,0.179,stable
54,12.7045,77.7905,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,18.3363,4,0.114,0.026699,36.4552,56.040899653979245,0,0.0,0.0,0.0,0.1305,0.1937,stable
55,12.7045,77.7995,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,10.4613,0,0.0648,0.026295,37.0307,22.780000000000086,0,0.0,0.0,0.0,0.1108,0.1814,stable
56,12.7045,77.8085,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,17.749,0,0.11,0.025892,37.6227,56.040899653979245,0,0.0,0.0,0.0,0.1289,0.1926,stable
57,12.7045,77.8175,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,33.6965,6,0.2094,0.02549,38.2304,56.040899653979245,0,0.0,0.0,0.0,0.1686,0.2173,at_risk
58,12.7045,77.8265,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,21.2384,0,0.1316,0.025092,38.853,56.040899653979245,0,0.0,0.0,0.0,0.1375,0.1978,at_risk
59,12.7045,77.8355,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,17.8765,0,0.1108,0.024698,39.4899,56.040899653979245,0,0.0,0.0,0.0,0.1292,0.1925,stable
60,12.7045,77.8445,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,12.0915,5,0.0754,0.024307,40.1403,25.180000000000064,0,0.0,0.0,0.0,0.115,0.1836,stable
61,12.7045,77.8535,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,0.9681,7,0.0067,0.023921,40.8036,56.040899653979245,0,0.0,0.0,0.0,0.0875,0.1663,stable
62,12.7045,77.8625,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,5.3164,0,0.0329,0.023541,41.4792,56.040899653979245,0,0.0,0.0,0.0,0.098,0.1728,stable
63,12.7045,77.8715,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,13.982,159,0.1029,0.023166,42.1665,56.040899653979245,0,0.0,0.0,0.0,0.126,0.1902,stable
64,12.7045,77.8805,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,9.3244,0,0.0578,0.022797,42.865,56.040899653979245,0,0.0,0.0,0.0,0.108,0.1789,stable
65,12.7045,77.8895,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,9.4948,0,0.0588,0.022435,43.574,30.739999999999895,0,0.0,0.0,0.0,0.1084,0.1791,stable
66,12.7045,77.8985,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,3.4961,0,0.0217,0.022078,44.2931,56.040899653979245,0,0.0,0.0,0.0,0.0935,0.1697,stable
67,12.7135,77.3045,0.1314,0.5016,0.3109,-0.2489,0.3702000000000001,-0.1907,-0.0694,0.3146333333333333,0.18512823483556834,-0.5609000000000001,0.5884,0.0,0,0.0,0.022981,42.5142,56.040899653979245,0,0.0,0.0,0.0,0.0747,0.0693,stable
68,12.7135,77.3135,0.4878,0.3971,0.243,0.091,-0.0907,-0.1541,-0.1538,0.3759666666666666,0.1237607503747991,-0.06339999999999998,0.3292,5.3272,0,0.033,0.023365,41.7994,56.040899653979245,0,0.0,0.0,0.0,0.0404,0.0977,stable
69,12.7135,77.3225,0.4198,0.3488,0.1666,-0.3829999999999999,-0.071,-0.1822,-0.6362,0.3117333333333333,0.1306063296066976,-0.11120000000000001,0.419,4.0541,0,0.0251,0.023756,41.0952,56.040899653979245,0,0.0,0.0,0.0,0.1462,0.3048,degraded
